2016-10-10,10:25:00,"""Donald J. Trump is a walking example of why it is a really bad idea to let people bring their guns into a bar."" 

Read on in The New York Times Opinion Section.",0.0,0.0
2016-10-10,09:55:00,"Tom Brady's back, and he's taking out his Deflategate frustrations on NFL defenses.",0.0,0.0
2016-10-10,09:25:00,Residents in North Carolina had hoped that Hurricane Matthew would spare their state. Then the storm struck.,2.0,1.0
2016-10-10,08:53:12,"""We can't just release them into society,"" a governor said of the wives and children of Boko Haram commanders. ""There's been so much brainwashing.""",2.0,1.0
2016-10-10,08:25:00,He lied about a sex tape. He lied about tax rates. He lied about ISIS. He lied about the Benghazi attack. He lied about Russia's hacking. He lied about his history of groping women without their consent. Read on in The New York Times Opinion Section.,289.0,280.0
2016-10-10,07:55:00,"Donald J. Trump fell back on the tricks he has learned from his years in pro wrestling and reality television, making clear how deep his cynicism goes, the Editorial Board writes in The New York Times Opinion Section.",132.0,131.0
2016-10-10,07:25:00,"""We worry about the floor and the toilet seat, so we clean them more. We don’t think about the refrigerator handle or the faucet handle as much.""",0.0,1.0
2016-10-10,06:55:00,"Anderson Cooper: You bragged that you have sexually assaulted women. Do you understand that?

Donald J. Trump: No, I didn’t say that at all. I don't think you understood what was — this was locker room talk. I'm not proud of it. I apologize to my family. I apologize to the American people. Certainly I'm not proud of it. But this is locker room talk.",83.0,128.0
2016-10-10,06:25:00,Hillary Clinton endured the nuclear attack and Donald J. Trump solved none of his problems. Here are the debate takeaways.,78.0,115.0
2016-10-10,05:55:01,Donald J. Trump spoke about unfair trade deals or threats to national security. But what they heard instead was his voice on that searing video.,40.0,59.0
2016-10-10,05:30:00,Daily Briefing: Here's what you need to know today.,6.0,30.0
2016-10-10,05:25:00,"They dug for revelations, pressed for specifics and posed blunt questions. Anderson Cooper and Martha Raddatz put themselves directly at the center of a high-stakes debate.",65.0,116.0
2016-10-10,05:09:52,Breaking News: The Nobel in Economics has been awarded to 2 professors for their insights into how best to write contracts.,0.0,1.0
2016-10-10,04:55:00,"""We did not think they would attack a funeral,"" one man said. ""We did not think they would be so vile.""",2.0,0.0
2016-10-10,04:25:00,An intense manhunt for a man suspected of planning a terrorist attack came to an end early Monday.,2.0,1.0
2016-10-10,03:55:48,The second presidential debate demonstrated Donald J. Trump's ability to command the stage even as Hillary Clinton kept to her mark.,118.0,173.0
2016-10-10,03:25:00,You asked. We answered.,1.0,4.0
2016-10-10,02:52:14,"""In the end, my conservative sister concluded: 'I could see him as president.' "" — Maureen Dowd in The New York Times Opinion Section",45.0,130.0
2016-10-10,02:26:01,Here is a sampling of the post-debate reaction.,106.0,131.0
2016-10-10,02:23:44,"The Islamic State. Refugees. Immigration. Donald J. Trump and Hillary Clinton squared off in the second presidential debate. We checked the facts.

Read the full fact check here: http://nyti.ms/2dFhfUJ",53.0,75.0
2016-10-10,01:55:00,That worked out pretty well. (via The New York Times Food),1.0,3.0
2016-10-10,01:25:00,"Ava DuVernay: ""When you take apart some of the pieces of what slavery was, you see they are mirroring the current day.""",24.0,21.0
2016-10-10,00:55:00,"Behind the scenes, she was making history.",7.0,3.0
2016-10-10,00:25:00,"Donald J. Trump said ""that if he became president, he would put political opponents in cages. That’s dictator talk."" (via The New York Times Opinion Section)",250.0,320.0
2016-10-10,00:05:18,Donald J. Trump and Hillary Clinton collided in a hostile debate. The full story: http://nyti.ms/2dpDeNs,44.0,74.0
2016-10-09,23:55:00,"""Whenever Donald Trump is talking about women as sex objects, he is losing."" — Bill Weld, the Libertarian Party’s vice-presidential nominee, who chatted with us while watching the debate between Donald J. Trump and Hillary Clinton.",30.0,42.0
2016-10-09,23:36:02,Donald J. Trump explicitly acknowledged that he used a $916 million loss that he reported on his 1995 income tax returns to avoid paying personal federal income taxes for years.,114.0,201.0
2016-10-09,23:25:00,"Did Hillary Clinton delete 33,000 emails? Did Nafta kill American jobs, as Donald J. Trump claimed? We checked the facts.",138.0,285.0
2016-10-09,22:55:00,"Donald J. Trump held the surprise news conference via Facebook Live shortly before the second presidential debate.

Here is a brief guide to the accusations each woman has made against Bill and Hillary Clinton.",248.0,400.0
2016-10-09,22:25:00,We analyzed in real time the second presidential debate between Donald J. Trump and Hillary Clinton.,24.0,60.0
2016-10-09,22:03:59,"Both Hillary Clinton and Donald J. Trump were visibly uneasy throughout the debate, even refusing to shake hands when they took the stage.",87.0,131.0
2016-10-09,21:52:02,"How the second presidential debate ended:

Hillary Clinton: ""His children are incredibly able and devoted, and I think that says a lot about Donald. I don’t agree with nearly anything else he says or does, but I do respect that.""

Donald J. Trump: ""She does fight hard, and she doesn’t quit, and she doesn’t give up. And I consider that to be a very good trait.""",123.0,148.0
2016-10-09,21:29:15,“She has tremendous hate in her heart.” — Donald J. Trump on Hillary Clinton,50.0,169.0
2016-10-09,21:18:37,"Our deputy Metro editor Michael Luo and his family had just gotten out of church when a woman yelled, ""Go back to China!""",6.0,90.0
2016-10-09,21:18:32,"Anderson Cooper: ""Did you use that $916 million loss to avoid paying personal federal income taxes?""

Donald J. Trump: ""Of course I do. Of course I do. And so do all of [Hillary Clinton's] donors.""",68.0,111.0
2016-10-09,21:12:17,We're fact-checking the presidential debate with Hillary Clinton and Donald J. Trump: http://nyti.ms/2ddGA8L,130.0,121.0
2016-10-09,21:04:48,"Hillary Clinton: Donald J. Trump ""has said we're going to ban people based on a religion. How do you do that? We are a country founded on religious freedom and liberty.""",81.0,99.0
2016-10-09,20:58:44,We're fact-checking the presidential debate with Hillary Clinton and Donald J. Trump: http://nyti.ms/2ddGA8L,89.0,90.0
2016-10-09,20:44:43,"Hillary Clinton: ""It's just awfully good that someone with the temperament of Donald Trump is not in charge of the law in our country.""

Donald J. Trump: ""Because you'd be in jail.""",92.0,194.0
2016-10-09,20:38:13,"""He owes our country an apology."" — Hillary Clinton on Donald J. Trump",73.0,85.0
2016-10-09,20:29:45,"""I have great respect for women. Nobody has more respect for women than I do."" — Donald J. Trump, at the second presidential debate.",146.0,457.0
2016-10-09,20:21:36,Join The New York Times Opinion Section as illustrator Tim Lahan lampoons the second presidential debate in real-time. Give your cartoon suggestions in the comments.,9.0,27.0
